key,source,url,license_note,local_path,status,size_bytes,sha256,downloaded_at,error
nazario_20051114,nazario,https://monkey.org/~jose/phishing/20051114.mbox,public corpus; see LICENSE.txt at the source site,data/raw/nazario/20051114.mbox,existing,4071556,928cbf1c394d01d0b398ded8dc7cbd94dd4ce9cb0d4efdecd12696338c247926,2026-09-01T05:46:51.713466Z,
nazario_2021,nazario,https://monkey.org/~jose/phishing/phishing-2021,CC BY 4.0; see LICENSE.txt at the source site,data/raw/nazario/phishing-2021,downloaded,2719946,636707cff42245d1482e4ae8a2c03369717a5e06bf9d1a0f4ec5dcd846661cee,2026-09-01T06:02:01.089321Z,
nazario_2022,nazario,https://monkey.org/~jose/phishing/phishing-2022,CC BY 4.0; see LICENSE.txt at the source site,data/raw/nazario/phishing-2022,downloaded,4775954,a6291e2cb990204766fce425423949b403cce4ae6a660fc8d08812e40a063fa7,2026-09-01T06:02:09.195948Z,
nazario_2023,nazario,https://monkey.org/~jose/phishing/phishing-2023,CC BY 4.0; see LICENSE.txt at the source site,data/raw/nazario/phishing-2023,downloaded,7763704,5007f1c1dc91b15e93e988afa3a1cf402e15c88f765d3057be8bfec50dae1fe8,2026-09-01T06:02:18.166584Z,
nazario_2024,nazario,https://monkey.org/~jose/phishing/phishing-2024,CC BY 4.0; see LICENSE.txt at the source site,data/raw/nazario/phishing-2024,downloaded,15457816,60afa40a2757170093a2bde31ec9cda4e54d33992203ce04bfbbc86d2e5e5b99,2026-09-01T06:02:28.051913Z,
nazario_2025,nazario,https://monkey.org/~jose/phishing/phishing-2025,CC BY 4.0; see LICENSE.txt at the source site,data/raw/nazario/phishing-2025,downloaded,18769863,f1fa7e0fe35c9a16f36d9aa20ade7e1d3908d1d0c1d917b8c53c8aa799ec1c8f,2026-09-01T06:02:41.837669Z,
nazario_phishing0,nazario,https://monkey.org/~jose/phishing/phishing0.mbox,public corpus; see LICENSE.txt at the source site,data/raw/nazario/phishing0.mbox,existing,3119972,6184b0a34ed8cbbb252676e21c1eab9eac5fa4be89c61e30cc9954ebbb25d848,2026-09-01T05:46:51.718463Z,
nazario_phishing1,nazario,https://monkey.org/~jose/phishing/phishing1.mbox,public corpus; see LICENSE.txt at the source site,data/raw/nazario/phishing1.mbox,existing,4191770,99f02474a11086408a5ce6d11ef38823f003c6611a4312c31fbee96773eeba28,2026-09-01T05:46:51.721972Z,
nazario_phishing2,nazario,https://monkey.org/~jose/phishing/phishing2.mbox,public corpus; see LICENSE.txt at the source site,data/raw/nazario/phishing2.mbox,existing,10420294,5113277984eae759a5ff958ccf408b542441ce033a49b923ab3b0f324075e6bd,2026-09-01T05:46:51.727338Z,
nazario_phishing3,nazario,https://monkey.org/~jose/phishing/phishing3.mbox,CC BY 4.0; see LICENSE.txt at the source site,data/raw/nazario/phishing3.mbox,failed,0,,2026-09-01T05:46:51.737937Z,OSError: download failed
spamassassin_easy_ham,spamassassin_ham,https://spamassassin.apache.org/old/publiccorpus/20021010_easy_ham.tar.bz2,SpamAssassin Public Corpus terms/readme,data/raw/spamassassin_ham/20021010_easy_ham.tar.bz2,existing,1677144,f9fc56e1f68780f9afdc6d23a2e24c4584af988afc58bbfabae500e51f3a2f36,2026-09-01T05:47:07.550064Z,
spamassassin_easy_ham_2,spamassassin_ham,https://spamassassin.apache.org/old/publiccorpus/20030228_easy_ham.tar.bz2,SpamAssassin Public Corpus terms/readme,data/raw/spamassassin_ham/20030228_easy_ham.tar.bz2,existing,1612216,2b7b65904bcfcc31d2b5f51946f2d261370b257402cbbd62930b46ab83367438,2026-09-01T05:47:07.554574Z,
spamassassin_easy_ham_3,spamassassin_ham,https://spamassassin.apache.org/old/publiccorpus/20030228_easy_ham_2.tar.bz2,SpamAssassin Public Corpus terms/readme,data/raw/spamassassin_ham/20030228_easy_ham_2.tar.bz2,existing,1077892,b4bd3dc5ae5b40f38e99a0e41ad7d16b428b56e818e3a6ffa07330d62004dd38,2026-09-01T05:47:07.556591Z,
spamassassin_hard_ham,spamassassin_ham,https://spamassassin.apache.org/old/publiccorpus/20021010_hard_ham.tar.bz2,SpamAssassin Public Corpus terms/readme,data/raw/spamassassin_ham/20021010_hard_ham.tar.bz2,existing,1021126,7cd46378877e00caa4e943920a854e2ef95ac29e296cf2a3ce691fb4104c4fbd,2026-09-01T05:47:07.552574Z,
spamassassin_hard_ham_2,spamassassin_ham,https://spamassassin.apache.org/old/publiccorpus/20030228_hard_ham.tar.bz2,SpamAssassin Public Corpus terms/readme,data/raw/spamassassin_ham/20030228_hard_ham.tar.bz2,existing,1029898,ce2ce67880643dbde65ea7f85bffbfe4417349c4bd80b6b0de56262ae6b0a9c9,2026-09-01T05:47:07.557574Z,
